Run,cell_line,num_mapped_reads
SRR8670686,SKCO1_LARGE_INTESTINE,7263575
SRR8670687,NCIH460_LUNG,11139207
SRR8670688,NCIH446_LUNG,4513812
SRR8670690,NCIH508_LARGE_INTESTINE,917210
SRR8670691,NCIH522_LUNG,1957771
SRR8670692,NCIH520_LUNG,2334879
SRR8670693,NCIH526_LUNG,6814794
SRR8670694,NCIH524_LUNG,834720
SRR8670695,NCIH650_LUNG,526402
SRR8670696,NCIH596_LUNG,561779
SRR8670697,NUGC3_STOMACH,645687
SRR8670699,NCIH82_LUNG,624226
SRR8670700,NCIH747_LARGE_INTESTINE,6177876
SRR8670701,NCIH69_LUNG,8857499
SRR8670702,NCIH661_LUNG,10496746
SRR8670703,NCIN87_STOMACH,12072247
SRR8670705,NCIH841_LUNG,7697465
SRR8670706,NCIH838_LUNG,472602
SRR8670709,SUIT2_PANCREAS,4327662
SRR8670710,SW1271_LUNG,506122
SRR8670713,SNU423_LIVER,7985180
SRR8670715,SNU475_LIVER,5715041
SRR8670720,U251MG_CENTRAL_NERVOUS_SYSTEM,5035273
SRR8670722,VMCUB1_URINARY_TRACT,641276
SRR8670730,PANC1005_PANCREAS,456403
SRR8670734,PC3_PROSTATE,660810
SRR8670737,OE19_OESOPHAGUS,543576
SRR8670740,OSRC2_KIDNEY,11005908
SRR8670746,SCLC21H_LUNG,6422275
SRR8670747,SCC4_UPPER_AERODIGESTIVE_TRACT,3235707
SRR8670748,SCC25_UPPER_AERODIGESTIVE_TRACT,764444
SRR8670749,SCABER_URINARY_TRACT,5795120
SRR8670753,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4879073
SRR8670756,PLCPRF5_LIVER,626232
SRR8670758,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,7902537
SRR8670766,SNU407_LARGE_INTESTINE,8040195
SRR8670770,SNU1_STOMACH,9627339
SRR8670771,SNU182_LIVER,10979335
